Aaptos aaptos (Schmidt, 1864) (meatball sponge)
Cephise cephise Herrich-Schaffer 1869 (scarlet-eye skipper)
Cerastes cerastes (L., 1758) (Saharan horned viper)
Chaca chaca (Hamilton, 1822) (squarehead catfish)
Chaetosiphon chaetosiphon (Nevsky, 1928) (aphid)
Chalcides chalcides (L., 1758) (three-toed skink)
Chalcone chalcone Schaus, 1902 (skipper)
Chamunda chamunda Moore, 1865 (skipper)
Chandramara chandramara (Hamilton, 1822) (golden hovering catfish)
Chanos chanos (Forskal, 1775) (milkfish)
Chaos chaos (L.) (amoeba) syn. for C. carolinense
Charcotus charcotus Datta Gupta, 1981 (echiuroid worm)
Chinchilla chinchilla Lichtenstein 1829 (short-tail chinchilla) syn. for C. brevicaudata Waterhouse, 1848
Chiropotes chiropotes (Humboldt, 1811) (bearded saki)
Chitala chitala (Hamilton, 1822) (clown knifefish)
Chloris chloris (L., 1758) (greenfinch)
Chlorura chlorura (Audubon 1839) (green-tailed towhee) syn. for Pipilo chlorurus (Audubon, 1839)
Chromis chromis (L., 1758) (blue damselfish)
Ciconia ciconia (L., 1758) (white stork)
Cidaris cidaris (L., 1758) (long spine slate pen sea urchin)
Cinclus cinclus (L., 1758) (water ouzel)
Citellus citellus (L. 1766) (European ground squirrel) syn. for Spermophilus citellus (L., 1766)
Clathrus clathrus (L. 1758) (wentletrap sea snail) syn. for Epitonium clathrus (L., 1758)
Clelia clelia (Daudin, 1803) (mussurana)
Clito clito Fabricius, 1787 (clito skipper)
Clypeomorus clypeormorus Jousseaume 1888 (sea snail) syn. for C. bifasciata (Sowerby II, 1855)
Coccothraustes coccothraustes (L., 1758) (hawfinch)
Cochlearius cochlearius (L., 1766) (boatbill heron)
Coeligena coeligena (Lesson, 1833) (bronzy inca hummingbird)
Coelorhynchus coelorhynchus (Risso 1810) (saddled grenadier) var. of Coelorinchus caelorhincus (Risso, 1810)
Coelorinchus coelorinchus (Risso 1810) (saddled grenadier) prob. var. of C. caelorhincus (Risso, 1810)
Colius colius (L., 1766) (white-backed mousebird)
Columella columella (G. v. Martens, 1830) (land snail)
Concholepas concholepas (Bruguiere, 1789) (Chilean abalone)
Conger conger (L., 1758) (conger eel)
Conocephalus conocephalus (L., 1767) (a meadow katydid)
Constrictor constrictor Martin 1958 (boa constrictor) syn. for Boa constrictor L., 1758
Conta conta (Hamilton, 1822) (conta catfish)
Convoluta convoluta (Abildgaard, 1806) (flatworm)
Coralliophaga coralliophaga (Gmelin, 1791) (coral clam)
Cordylus cordylus (L., 1758) (Cape girdled lizard)
Corticea corticea Plötz, 1883 (redundant skipper)
Coscoroba coscoroba (Molina, 1782) (coscoroba swan)
Cossus cossus L., 1758 (goat moth)
Cotinga cotinga (L., 1766) (purple-breasted cotinga)
Coturnix coturnix (L., 1758) (common quail)
Crambe crambe (Schmidt, 1862) (ascidian sponge)
Crangon crangon (L., 1758) (sand shrimp)
Crenidens crenidens (Forsskal, 1775) (karanteen seabream)
Cressida cressida (Fabricius, 1775) (clearwing swallowtail)
Crex crex (L., 1758) (corncrake)
Cricetus cricetus (L., 1758) (hamster)
Crocuta crocuta (Erxleben, 1777) (spotted hyaena)
Crossoptilon crossoptilon (Hodgson, 1838) (white eared pheasant)
Cryptocentrus cryptocentrus (Valenciennes, 1837) (ninebar prawn-goby)
Curaeus curaeus (Molina, 1782) (austral blackbird)
Cyanicterus cyanicterus (Vieillot, 1819) (blue-backed tanager)
Cygnus cygnus (L., 1758) (whooper swan)
Cymbiola cymbiola (Gmelin, 1791) (crown volute)
Cymbium cymbium (L., 1758) (elephant-snout volute)
Cynea cynea Hewitson, 1876 (grass skipper)
Cynoglossus cynoglossus (Hamilton, 1822) (Bengal tonguesole)
Cyrina cyrina Hewitson, 1876 (skipper)
Dactylopus dactylopus (Valenciennes, 1837) (fingered dragonet)
Dama dama (L., 1758) (fallow deer)
Danis danis (Cramer, [1775]) (lycaenid butterfly)
Dario dario (Hamilton, 1822) (scarlet badis)
Decinea decinea Hewitson, 1876 (Huastecan winey skipper)
Defectrix defectrix Petrunkevitch, 1925 (sparassid spider)
Dentex dentex (L., 1758) (porgy)
Dermatolepis dermatolepis (Boulenger, 1895) (leather bass)
Devario devario (Hamilton, 1822) (Sind danio)
Diabolica diabolica Jousseaume 1897 (nucinellid mollusc) syn. for Huxleyia diabolica (Jousseaume, 1897)
Diuca diuca (Molina, 1782) (common diuca inch)
Dives dives (Deppe, 1830) (melodious blackbird)
Djeddilia djeddilia Jousseaume 1894 (sea snail) prob. syn. for Potamides sp.
Dolabrifera dolabrifera (Rang, 1828) (sea hare)
Domicella domicella Wallace 1859 (purple-naped lory) syn. for Lorius domicella (L., 1758)
Ebusus ebusus Stoll, 1780 (ebusus skipper)
Echiurus echiurus (Pallas, 1767) (spoonworm)
Enhydris enhydris (Schneider, 1799) (rainbow water snake)
Ensifera ensifera (Boissonneau, 1840) (swordbill hummingbird)
Ensis ensis (L., 1758) (sword razor clam)
Erosa erosa (Cuvier, 1829) (pitted stonefish)
Erythrinus erythrinus (Bloch & Schneider, 1801) (red wolf fish)
Exotica exotica Lamy 1918 (mussel) syn. for Tellina triradiata (H. Adams, 1871)
Extra extra Jousseaume, 1894 (snail)
Falcipennis falcipennis (Hartlaub, 1855) (Siberian grouse)
Faurotis faurotis Jousseaume 1888 (Faurot's bonnet (snail)) syn. for Semicassis faurotis (Jousseaume, 1888)
Faustina faustina (Rossmässler, 1835) (helicid land snail) syn. for Chilostoma faustina (Rossmässer, 1835)
Feroculus feroculus (Kelaart, 1850) (Kelaart's long-clawed shrew)
Ficus ficus (L., 1758) (fig shell)
Flesus flesus (L. 1758) (European flounder) syn. for Platichthys flesus (L., 1758)
Floricomus floricomus Crosby & Bishop 1925 (linyphiid spider) syn. for F. rostratus (Emerton, 1882)
Forcipata forcipata (Flor, 1861) (cicadellid leafhopper)
Fossa fossa (Malagasay civet) syn. for F. fossana (Müller, 1776)
Fragum fragum (L., 1758) (white strawberry cockle)
Francolinus francolinus (L., 1766) (francolin)
Furcula furcula L., 1761 (sallow kitten or forktailed moth)
Gagata gagata (Hamilton, 1822) (catfish)
Galbula galbula (L., 1766) (green-tailed jacamar)
Galeus galeus Cuvier 1816 (tope shark) syn. for Galeorhinus galeus (L., 1758)
Gallinago gallinago (L., 1758) (common snipe)
Gallio gallio Mabille, 1904 (skipper)
Gallus gallus (L., 1758) (domestic chicken)
Gari gari Bertin 1880 (psammobiid bivalve) syn. for G. truncata (L., 1767)
Gazella gazella (Pallas, 1766) (mountain gazelle)
Gemma gemma (Totten, 1834) (amethyst gem clam)
Genetta genetta (L., 1758) (spotted genet)
Genidens genidens (Cuvier, 1829) (guri sea catfish)
Gerbillus gerbillus (Olivier, 1801) (gerbil)
Gesta gesta Herrich-schäffer, 1863 (skipper)
Gibberulus gibberulus (L., 1758) (humpbacked conch)
Glis glis L., 1766 (edible dormouse)
Glycymeris glycymeris (L., 1758) (dog cockle)
Glyphis glyphis (Müller & Henle, 1839) (speartooth shark)
Gobio gobio (L., 1758) (gudgeon)
Goliathus goliathus Goeze 1777 (goliath beetle) syn. for G. goliatus (L., 1771)
Gonorynchus gonorynchus (L., 1766) (beaked salmon)
Gorilla gorilla (Savage & Wyman, 1847) (gorilla)
Gracilisentis gracilisentis (Van Cleave, 1913) (acanthocephalid parasite)
Grapsus grapsus (L., 1758) (Sally Lightfoot crab)
Grumicha grumicha (Vallot, 1855) (caddisfly)
Grus grus (L., 1758) (common crane)
Gryllotalpa gryllotalpa (L., 1758) (mole cricket)
Guarouba guarouba Gemlin (Gmelin) 1788 (golden parakeet) syn. for Guaruba guarouba (Gmelin, 1788)
Guavina guavina (Valenciennes, 1837) (sleeper goby)
Guira guira (Gmelin, 1788) (guira cuckoo)
Gulo gulo (L., 1758) (wolverine)
Halecium halecium (L. 1758) (herringbone hydroid) syn. for Halecium halecinum (L., 1758)
Hamigera hamigera (Schmidt, 1862) (sponge)
Hara hara (Hamilton, 1822) (moth catfish)
Harpa harpa (L., 1758) (true harp sea snail)
Haustellum haustellum (L., 1758) (snipe's bill murex)
Hemicardium hemicardium (L. 1758) (half-heart cockle) syn. for Lunulicardia hemicardium (L., 1758)
Hemilepidotus hemilepidotus (Tilesius, 1811) (red Irish lord (fish))
Heterophyes heterophyes (Siebold, 1853) (intestinal fluke)
Hilarella hilarella (Zetterstedt, 1844) (sarcophagid fly)
Himantopus himantopus (L., 1758) (stilt)
Hippocampus hippocampus (L., 1758) (sea horse)
Hippoglossus hippoglossus (L., 1758) (Atlantic halibut)
Hippopus hippopus (L., 1758) (bear claw clam)
Histrio histrio (L., 1758) (sargassum fish)
Histrionicus histrionicus (L., 1758) (harlequin duck)
Hormiphora hormiphora (Gegenbaur, 1856) (cydippid comb jelly)
Hottentotta hottentotta (Fabricius, 1787) (scorpion)
Hucho hucho (L., 1758) (huchen or Danube salmon)
Huso huso (L., 1758) (beluga sturgeon)
Hyaena hyaena (L., 1758) (striped hyaena)
Hypnale hypnale (Merrem, 1820) (hump-nosed viper)
Ibis ibis (L. 1766) (yellow-billed stork) syn. for Mycteria ibis (L., 1766)
Icelanonchohaptor icelanonchohaptor Leiby, Kritsky & Peterson 1972 (flatworm)
Ichthyaetus ichtyaetus (Pallas, 1773) (Pallas's gull)
Icterus icterus (L., 1766) (troupial)
Idea idea (L., 1763) (rice paper butterfly)
Idus idus (L. 1758) (ide, orfe (fish)) syn. for Leuciscus idus (L., 1758)
Iguana iguana (L., 1758) (iguana)
Indicator indicator (Sparrman, 1777) (black-throated honeyguide)
Indri indri (Gmelin, 1788) (indri)
Irus irus (L., 1758) (irus venus clam)
Isognomon isognomon (L. 1758) (wader tree oyster) syn. for I. isognomum (L., 1758)
Issina issina Jousseaume, 1898 (galeommatid mollusc)
Jacana jacana (L., 1766) (wattled jacana)
Jaculus jaculus (L., 1758) (lesser Egyptian jerboa)
Jajinia jajinia Gonzalez-Sponga, 2000 (harvestman)
Janthina janthina (L., 1758) (common purple snail)
Jia jia de Laubenfels 1930 (sponge) syn. for Antho jia (de Laubenfels, 1930)
Joanna joanna Evans, 1955 (skipper)
Kachuga kachuga Smith 1931 (red-crowned roofed turtle) syn. for Batagur kachuga (Gray, 1831)
Koilofera koilofera Jay & Drivas, 2002 (sea snail)
Kyrina kyrina Jousseaume, 1894 (venerid mollusc)
Lactarius lactarius (Bloch & Schneider, 1801) (whitefish or false trevally)
Lagocephalus lagocephalus (L., 1758) (oceanic puffer)
Lagopus lagopus (L., 1758) (willow ptarmigan)
Lagurus lagurus (Pallas, 1773) (steppe lemming)
Lambis lambis (L., 1758) (spider conch)
Lemmus lemmus (L., 1758) (Norway lemming)
Leo leo Allen 1924 (African lion) syn. for Panthera leo (L., 1758)
Lepadogaster lepadogaster (Bonnaterre, 1788) (shore clingfish)
Lepidion lepidion (Risso, 1810) (Mediterranean codling)
Lerwa lerwa (Hodgson, 1833) (snow partridge)
Leuciscus leuciscus (L., 1758) (dace)
Levina levina Plötz, 1884 (skipper)
Librita librita Plötz, 1886 (skipper)
Lima lima (L., 1758) (spiny fileclam)
Limanda limanda (L., 1758) (dab)
Limosa limosa (L., 1758) (black-tailed godwit)
Lionelita lionelita. Jousseaume 1888 (galeommatid mollusc) syn. for L. denticulata (Deshayes, 1856)
Liparis liparis (L., 1766) (striped seasnail fish)
Lithognathus lithognathus (Cuvier, 1829) (white steenbras)
Lithophaga lithophaga (L., 1758) (date mussel)
Loa loa (Cobbold, 1864) (nematode)
Lota lota (L., 1758) (burbot)
Lucioperca lucioperca (L. 1758) (zander) syn. for Sander lucioperca (L., 1758)
Ludens ludens Mabille, 1891 (skipper)
Luscinia luscinia (L., 1758) (thrush nightingale)
Lutjanus lutjanus Bloch, 1790 (bigeye snapper)
Lutra lutra (L., 1758) (European otter)
Lutraria lutraria (L., 1758) (otter shell)
Lynx lynx (L., 1758) (Eurasian lynx)
Mabuya mabuya Kornacker 1997 (skink) syn. for M. mabouya (Bonnaterre, 1789)
Macrophyllum macrophyllum (Schinz, 1821) (long-legged bat)
Maena maena (L. 1758) (blotched picarel) syn. for Spicara maena (L., 1758)
Majella majella Kirkaldy 1906 (achilid planthopper) syn. for Deferunda majella (Kirkaldy, 1906)
Malleus malleus (L., 1758) (hammer oyster)
Manacus manacus (L., 1766) (white-bearded manakin)
Margaritifera margaritifera (L., 1758) (freshwater pearl mussel)
Marmota marmota (L., 1758) (European marmot)
Martes martes (L., 1758) (pine marten)
Mascarinus mascarinus (L. 1771) (mascarine parrot (extinct)) syn. for M. mascarin (L., 1771)
Mashuna mashuna Trimen, 1895 (mashuna ringlet (butterfly))
Mastacembelus mastacembelus (Banks & Solander, 1794) (eel)
Megacephala megacephala (A.G. Olivier, 1790) (ground beetle)
Melanodera melanodera (Quoy & Gaimard, 1824) (white-bridled finch)
Meles meles (L., 1758) (European badger)
Melo melo (Lightfoot, 1786) (Indian volute shell)
Melolontha melolontha (L., 1758) (cockchafer (beetle))
Melongena melongena (L., 1758) (Carribean crown conch)
Menander menander Stoll, 1780 (metalmark butterfly)
Menidia menidia (L., 1766) (Atlantic silverside)
Mephitis mephitis (Schreber, 1776) (striped skunk)
Mercenaria mercenaria (L., 1758) (northern quohog)
Meretrix meretrix (L., 1758) (blood clam)
Merluccius merluccius (L., 1758) (European hake)
Meza meza Hewitson, 1877 (common missile (a skipper))
Microchaetus microchaetus (Rapp) (giant earthworm)
Microperca microperca ?Putnam 1863 (least darter) syn. for Etheostoma microperca Jordan & Gilbert, 1888
Microstoma microstoma (Risso, 1810) (slender argentine)
Milvus milvus (L., 1758) (red kite)
Misius misius Mabille, 1891 (skipper)
Mitella mitella Pilsbry 1907 (barnacle) syn. for Capitulum mitella (L., 1758)
Mitra mitra (L., 1758) (episcopal mitre snail)
Mitu mitu (L., 1766) (Alagoas curassow)
Modiolus modiolus (L., 1758) (horse mussel)
Modulus modulus (L., 1758) (Atlantic modulus or buttonsnail)
Moeros moeros Müschler, 1876 (skipper)
Mogurnda mogurnda (Richardson, 1844) (Australian spotted gudgeon)
Mola mola (L., 1758) (ocean sunfish)
Molla molla Evans, 1955 (skipper)
Molossus molossus (Pallas, 1766) (velvety free-tailed bat)
Molva molva (L., 1758) (ling)
Monachus monachus (Hermann, 1779) (Mediterranean monk seal)
Moniliformis moniliformis (Bremser, 1811) (acanthocephalan worm)
Mops mops (Blainville, 1840) (Malayan free-tailed bat)
Multiceps multiceps (Leske,1780) (cestode worm)
Mustelus mustelus (L., 1758) (smooth-hound dogfish)
Myaka myaka Trewavas, 1972 (cichlid)
Myopina myopina (Fallen, 1824) (anthomyiid fly)
Myospalax myospalax (Laxmann, 1773) (Siberian zokor)
Myotis myotis (Borkhausen, 1797) (common brown or mouse-eared bat)
Naja naja (L., 1758) (cobra de capello)
Nandus nandus (Hamilton, 1822) (gangetic leaffish)
Nangra nangra (Hamilton, 1822) (catfish)
Narcosius narcosius (Stoll, 1790) (skipper)
Nasua nasua (L., 1766) (common coati)
Natrix natrix (L., 1758) (grass snake)
Neita neita Wallengren, 1875 (spotted brown butterfly)
Niviventer niviventer (Hodgson, 1836) (white-bellied rat)
Notopterus notopterus (Pallas, 1769) (bronze featherback)
Nyctea nyctea Kaup 1852 (snowy owl) syn. for Bubo scandiacus (L., 1758)
Nyctelius nyctelius Latreille, 1824 (skipper)
Nycticorax nycticorax (L., 1758) (black-crowned night heron)
Oenanthe oenanthe (L., 1758) (northern wheatear)
Oliva oliva (L., 1758) (common olive snail)
Oncicola oncicola (Ihering, 1892) (acanthocephalan)
Ophioscincus ophioscincus (Peters, 1887) (yolk-bellied snake-skink)
Oplopomus oplopomus (Valenciennes, 1837) (spinecheek goby)
Orca orca Lahille 1914 (killer whale) syn. for Orcinus orca (L., 1758)
Oreotragus oreotragus (Zimmermann, 1783) (klipspringer)
Oriolus oriolus (L., 1758) (golden oriole)
Orthos orthos Godman, 1900 (skipper)
Oxygaster oxygaster (Valenciennes 1844) (cyprinid fish: knife barb) syn. for O. anomalura van Hasselt, 1823
Pagrus pagrus (L., 1758) (red porgy)
Pamba pamba Evans, 1955 (skipper)
Pangasius pangasius (Hamilton, 1822) (pangas catfish)
Papio papio (Desmarest, 1820) (western baboon)
Passova passova Hewitson, 1866 (skipper)
Pastria pastria Evans, 1949 (skipper)
Pauxi pauxi (L., 1766) (helmeted curassow)
Perdix perdix (L., 1758) (grey partridge)
Periphylla periphylla (Péron & Lesueur, 1810) (helmet jellyfish)
Perna perna (L., 1758) (brown mussel)
Petalifera petalifera (Rang, 1828) (sea slug)
Petaurista petaurista (Pallas, 1766) (red giant flying squirrel)
Petronia petronia (L., 1766) (rock sparrow)
Phaeopus phaeopus (L.) (whimbrel) syn. for Numenius phaeopus (L., 1758)
Phocaena phocaena Kleinenberg 1956 (harbor porpoise) syn. for Phocoena phocoena (L., 1758)
Phocena phocena Gray 1821 (harbor porpoise) syn. for Phocoena phocoena (L., 1758)
Phocoena phocoena (L., 1758) (harbor porpoise)
Phoenicurus phoenicurus (L., 1758) (European redstart)
Phoxinus phoxinus (L., 1758) (minnow)
Phycis phycis (L., 1766) (forkbeard)
Pica pica (L., 1758) (Eurasian magpie)
Pilosa pilosa Gonzalez-Sponga, 1999 (zalmoxid harvestman)
Pilum pilum Williams, 1976 (acanthocephalan)
Pinjalo pinjalo (Bleeker, 1850) (pinjalo snapper)
Pipa pipa (L., 1758) (Surinam toad)
Pipile pipile (Jacquin 1784) (Trinidad piping guan) syn. for Aburria pipile (Jacquin, 1784)
Pipistrellus pipistrellus (Schreber, 1774) (European brown bat)
Pipra pipra (L., 1758) (white-crowned manakin)
Pithecia pithecia (L., 1766) (white-faced saki monkey)
Planorbis planorbis (L., 1758) (freshwater snail)
Plica plica (L., 1758) (tree-runner iguana)
Plumbago plumbago Plötz, 1884 (skipper)
Poliocephalus poliocephalus (Jardine & Selby, 1827) (hoary-headed grebe)
Pollachius pollachius (L., 1758) (pollack)
Pollicipes pollicipes (Gmelin, 1790) (goose barnacle)
Polyctor polyctor Prittwitz, 1868 (skipper)
Polygyrella polygyrella (Bland & Cooper, 1861) (humped coin shell)
Polyspilla polyspilla Germar, 1821 (leaf beetle)
Pompeius pompeius Latreille, 1824 (skipper)
Porites porites (Pallas, 1766) (hump coral)
Porphyrio porphyrio (L., 1758) (purple swamphen)
Porphyrolaema porphyrolaema (Deville & P.L. Sclater, 1852) (purple-throated cotinga)
Porpita porpita (L., 1758) (blue button siphonophore)
Porzana porzana (L., 1766) (spotted crake)
Potimirim potimirim (F. Mueller, 1881) (atyid shrimp)
Pratorum pratorum (Goetghebuer 1927) (chironomid fly) syn. for Camptocladius pratorum Goetghebuer, 1927
Pristis pristis (L., 1758) (sawfish)
Propertius propertius Fabricius, 1793 (skipper)
Psammosphaerita psammosphaerita Jousseaume 1894 (psammobiid clam) syn. for Psammosphaerica psammosphaerita Jousseaume, 1894
Pseudamussium pseudamussium Chemnitz 1784 (scallop) syn. for P. peslutrae (L., 1771)
Pseudobagarius pseudobagarius (Roberts, 1989) (catfish)
Puffinus puffinus (Brunnich, 1764) (Manx shearwater)
Pulsatrix pulsatrix (Wied-Neuwied, 1820) (spectacled owl) syn. for P. perspicillata pulsatrix (Wied-Neuwied, 1820)
Pundamilia pundamilia Seehausen & Bouton 1998 (cichlid) syn. for Haplochromis pundamilia (S. & B., 1998)
Pungitius pungitius (L., 1758) (nine-spined stickleback)
Punta punta Evans, 1955 (skipper)
Putorius putorius L. 1758 (European polecat) syn. for Mustela putorius L., 1758
Pyragraphorus pyragraphorus (MacCallum & MacCallum, 1913) Sproston, 1946 (tapeworm)
Pyrrhocorax pyrrhocorax (L., 1758) (red-billed chough)
Pyrrhula pyrrhula (L., 1758) (bullfinch)
Pyrrhyllis pyrrhyllis Kirkaldy, 1906 (achilid planthopper)
Quadrula quadrula (Rafinesque, 1820) (mapleleaf mussel)
Quelea quelea (L., 1758) (red-billed quelea)
Quinqueserialis quinqueserialis (Barker & Laughlin, 1911) (monostome trematode)
Racta racta Evans, 1955 (skipper)
Rama rama (Hamilton, 1822) (catfish)
Ranina ranina (L., 1758) (red frog crab)
Rapa rapa (L., 1758) (sea snail)
Rasbora rasbora (Hamilton, 1822) (gangetic scissortail rasbora)
Rattus rattus (L., 1758) (black rat)
Redunca redunca (Pallas, 1767) (bohor reedbuck)
Regulus regulus (L., 1758) (goldcrest)
Remora remora (L., 1758) (remora)
Repens repens Evans, 1955 (skipper)
Retropinna retropinna (Richardson, 1848) (New Zealand smelt)
Rhabdosynochus rhabdosynochus Mizelle & Blatz, 1941 (fluke)
Rhamnocercus rhamnocercus Monaco, Wood & Mizelle, 1954 (fluke)
Rhinobatos rhinobatos (L., 1758) (guitarfish)
Rhinobatus rhinobatus (L. 1758) (guitarfish) syn. for Rhinobatos rhinobatos
Ridens ridens Hewitson, 1876 (skipper)
Riparia riparia (L., 1758) (sand martin)
Rita rita (Hamilton, 1822) (rita catfish)
Rupicapra rupicapra (L., 1758) (chamois)
Rupicola rupicola (L., 1766) (Guianan cock-of-the-rock)
Rutilus rutilus (L., 1758) (roach (fish))
Sabina sabina Plötz, 1883 (skipper)
Saccolaimus saccolaimus (Temminck, 1838) (naked-rumped pouched bat)
Sacrator sacrator Godman & Salvin, 1879 (skipper)
Salamandra salamandra (L., 1758) (fire salamander)
Salatis salatis Stoll, 1782 (skipper)
Salvelinus salvelinus (L. 1758) (lake char) syn. for S. umbla (L., 1758)
Sansonia sansonia Jousseaume 1921 (mollusc) syn. for S. andamanica (Preston, 1908)
Sarda sarda (Bloch, 1793) (bonito)
Sarmaticus sarmaticus (L. 1758) (South African turban snail) syn. for Turbo sarmaticus (1758)
Saturnus saturnus Fabricius, 1787 (skipper)
Scalpellum scalpellum (L., 1767) (barnacle)
Scincus scincus (L., 1758) (eastern skink)
Scintillula scintillula Jousseaume, 1888 (veneroid mollusc)
Scolytus scolytus Wood & Bright, 1992 (elm bark beetle) Provisionally accepted
Sephanoides sephanoides (Lesson, 1827) (green-backed firecrown)
Sergia sergia (Belemischev, 1918) (flatworm)
Serianus serianus (Chamberlin, 1923) (pseudoscorpion)
Serinus serinus (L., 1766) (serin)
Silurus silurus Wulff 1765 (wels catfish) syn. for S. glanis (L., 1758)
Sodreana sodreana Mello-Leitão, 1922 (Brazilian long-pedipalped harvestman)
Solea solea (L., 1758) (sole)
Sphyraena sphyraena (L., 1758) (European barracuda)
Spinachia spinachia (L., 1758) (fifteen-spined stickleback)
Spirorbis spirorbis (L., 1758) (polychaete worm)
Spirula spirula (L., 1758) (cephalopod)
Sprattus sprattus (L., 1758) (sprat)
Squatarola squatarola Cuvier 1816 (black-bellied plover) syn. for Pluvialis squatarola squatarola (L., 1758)
Squatina squatina (L., 1758) (angelfish shark)
Staphylaea staphylaea (L., 1758) (stippled cowry)
Stellifer stellifer (Bloch, 1790) (little croaker (fish))
